nivel,categoria,termino
ancla,ancla,ENAPRES
ancla,ancla,Encuesta Nacional de Programas Presupuestales
tema,contexto,programas presupuestales
tema,saneamiento,agua potable
tema,saneamiento,abastecimiento de agua
tema,saneamiento,agua segura
tema,saneamiento,disposición de excretas
tema,saneamiento,recolección de basura
tema,saneamiento,residuos sólidos
tema,saneamiento,saneamiento urbano
tema,saneamiento,saneamiento rural
tema,electrificacion,energía eléctrica
tema,electrificacion,red pública
tema,electrificacion,electrificación rural
tema,electrificacion,cortes de energía
tema,vivienda,título de propiedad
tema,vivienda,SUNARP
tema,vivienda,régimen de tenencia
tema,vivienda,vivienda y entorno urbano
tema,identidad,DNI
tema,identidad,acceso a la identidad
tema,telecom,uso de internet
tema,telecom,servicio de internet
tema,telecom,telefonía celular
tema,telecom,telefonía móvil
tema,telecom,antenas de telefonía
tema,telecom,señal de celular
tema,seguridad,victimización
tema,seguridad,hecho delictivo
tema,seguridad,cifra negra
tema,seguridad,denuncia policial
tema,seguridad,percepción de inseguridad
tema,seguridad,serenazgo
tema,seguridad,patrullaje integrado
tema,seguridad,confianza en la policía
tema,seguridad,robo en vivienda
tema,seguridad,robo de celular
tema,seguridad,intento de robo
tema,salud,dengue
tema,salud,síntomas del dengue
tema,salud,araña casera
tema,salud,rabia canina
tema,salud,mordedura de perro
tema,salud,emergencias médicas
tema,vial,seguridad vial
tema,vial,campaña vial
tema,cultura,visita a museos
tema,cultura,patrimonio cultural
tema,cultura,monumentos arqueológicos
tema,cultura,artes escénicas
tema,cultura,ferias artesanales
tema,cultura,libros digitales
tema,cultura,videojuegos
tema,emergencias,bomberos 116
tema,emergencias,central de emergencias
tema,aire,calidad del aire
tema,aire,contaminación del aire
tema,consumidor,INDECOPI
tema,consumidor,protección al consumidor
tema,consumidor,derechos del consumidor
tema,discapacidad,discapacidad
tema,canes,crianza de perros
tema,canes,vacunación canina
tema,canes,mascotas en el hogar
tema,etnicidad,lengua materna
tema,etnicidad,autoidentificación étnica
tema,etnicidad,pueblo indígena
tema,etnicidad,identidad de género
tema,sociales,programa social
tema,sociales,presupuesto por resultados
tema,sociales,MEF
tema,desastres,inundaciones
tema,desastres,deslizamientos
tema,desastres,basurales
operativo,operativo,visitará viviendas
operativo,operativo,trabajo de campo
operativo,operativo,recolecta información
operativo,operativo,ODEI
operativo,operativo,encuestadores
operativo,operativo,nota de prensa INEI
contexto,contexto,indicadores de resultados
contexto,contexto,principales resultados
contexto,contexto,publicación anual
exclusion,ruido,censos nacionales 2025
exclusion,ruido,encuesta electoral
exclusion,ruido,presidenciables
exclusion,ruido,intención de voto
exclusion,ruido,INE España
tema,canes,tenencia de mascotas
tema,canes,crianza de animales
tema,seguridad,semestre móvil
tema,seguridad,arma de fuego
tema,seguridad,cifra negra de denuncia
tema,seguridad,denuncia de delitos
tema,vivienda,combustible para cocinar
tema,vivienda,leña para cocinar
tema,vivienda,cocinan con leña
tema,etnicidad,orientación sexual
tema,seguridad,seguridad ciudadana
tema,basicos,servicios básicos
tema,seguridad,ciberdelincuencia
tema,seguridad,delito informático
tema,seguridad,estafa virtual
tema,seguridad,extorsión
tema,vivienda,déficit habitacional
tema,vivienda,infraestructura urbana
tema,vivienda,áreas verdes
tema,saneamiento,corte de agua
tema,saneamiento,agua continua
contexto,contexto,año móvil
tema,seguridad,corrupción policial
tema,seguridad,corrupción municipal
tema,seguridad,corrupción en el poder judicial
tema,seguridad,corrupción en la fiscalía
tema,seguridad,alumbrado público
tema,seguridad,cámaras de vigilancia
tema,seguridad,medidas antirrobo
tema,seguridad,redes sociales
tema,electrificacion,panel solar
tema,electrificacion,conexión clandestina
tema,electrificacion,hogares sin luz
tema,saneamiento,hogares sin agua
tema,saneamiento,hogares sin desagüe
tema,saneamiento,EPS
tema,vivienda,espacios públicos con áreas verdes
tema,vivienda,pistas y veredas
tema,vivienda,bicicleta
tema,telecom,internet fijo
tema,telecom,internet móvil
tema,telecom,tv por cable
tema,telecom,computadora
tema,telecom,laptop
tema,telecom,tableta
tema,telecom,satisfacción con internet
tema,etnicidad,quechua
tema,etnicidad,aimara
tema,etnicidad,ashaninka
tema,etnicidad,awajún
tema,etnicidad,shipibo-konibo
tema,etnicidad,lenguas originarias
tema,etnicidad,lengua de señas peruana
tema,etnicidad,nikkei
tema,etnicidad,tusán
tema,etnicidad,pueblo afroperuano
tema,discapacidad,dificultad para ver
tema,discapacidad,dificultad para oír
tema,discapacidad,dificultad para caminar
tema,discapacidad,dificultad para recordar
tema,cultura,monumento histórico
tema,cultura,feria del libro
tema,cultura,cine
tema,cultura,biblioteca
tema,salud,prevención del dengue
tema,sociales,alimentación escolar PAE
tema,sociales,pensión 65
tema,sociales,juntos
tema,sociales,sis
tema,sociales,cuna más
tema,identidad,nacionalidad extranjera
tema,consumidor,libro de reclamaciones
