nivel,categoria,termino
ancla,extorsion,extorsión
ancla,extorsion,extorsion
ancla,extorsion,gota a gota
ancla,estafa,estafa
ancla,estafa,phishing
ancla,arma_fuego,arma de fuego
ancla,arma_fuego,arma de fuego
ancla,arma_fuego,disparo
ancla,arma_fuego,balacera
ancla,arma_fuego,sicariato
ancla,arma_fuego,sicario
ancla,homicidio,homicidio
ancla,homicidio,asesinato
ancla,homicidio,asesinado
ancla,homicidio,feminicidio
ancla,secuestro,secuestro
ancla,secuestro,secuestrado
ancla,asalto,mano armada
ancla,asalto,robo a mano armada
ancla,asalto,asalto a mano armada
ancla,organizado,crimen organizado
ancla,organizado,banda criminal
ancla,marcaje,marcaje
ancla,marcaje,marcado de vivienda
tema,extorsion,cupo
tema,extorsion,cuota
tema,estafa,clonación
tema,estafa,estafa virtual
tema,estafa,estafa telefónica
tema,estafa,delito informático
tema,arma_fuego,pistola
tema,arma_fuego,fusil
tema,arma_fuego,arma de fuego
tema,homicidio,sicariato
tema,homicidio,ajuste de cuentas
tema,secuestro,secuestro al paso
tema,asalto,asalto
tema,asalto,robo de vehículo
tema,asalto,robo de moto
tema,general,hecho delictivo
tema,general,delincuencia
tema,general,inseguridad ciudadana
exclusion,ruido,ENAPRES
exclusion,ruido,Encuesta Nacional de Programas Presupuestales
exclusion,ruido,encuesta electoral
exclusion,ruido,intención de voto
exclusion,ruido,receta
exclusion,ruido,Liga 1
exclusion,ruido,partido de fútbol
exclusion,ruido,videojuego
