nivel,categoria,termino
ancla,Agua por red pública,corte de agua
ancla,Agua por red pública,sin agua
ancla,Agua por red pública,desabastecimiento de agua
ancla,Agua por red pública,falta de agua
ancla,Agua por red pública,Sedapal
ancla,Agua por red pública,SEDAPAL
ancla,Agua por red pública,agua potable
ancla,Agua por red pública,racionamiento de agua
ancla,Agua por red pública,Sedalib
ancla,Energía eléctrica,corte de luz
ancla,Energía eléctrica,corte eléctrico
ancla,Energía eléctrica,apagón
ancla,Energía eléctrica,sin luz
ancla,Energía eléctrica,sin energía eléctrica
ancla,Energía eléctrica,Hidrandina
ancla,Energía eléctrica,electrificación
ancla,Alcantarillado,desagüe
ancla,Alcantarillado,desague
ancla,Alcantarillado,alcantarillado
ancla,Alcantarillado,aniego
ancla,Alcantarillado,colapso de desagüe
ancla,Residuos sólidos,recolección de basura
ancla,Residuos sólidos,residuos sólidos
ancla,Residuos sólidos,relleno sanitario
tema,Agua por red pública,EPS
tema,Agua por red pública,no hay agua
tema,Energía eléctrica,Enel
tema,Energía eléctrica,Seal
tema,Energía eléctrica,Electrocentro
tema,Energía eléctrica,Luz del Sur
tema,Alcantarillado,desborde
tema,Residuos sólidos,camión de basura
exclusion,ruido,ENAPRES
exclusion,ruido,Encuesta Nacional de Programas Presupuestales
exclusion,ruido,luz verde
exclusion,ruido,agua de coco
exclusion,ruido,agua de mar
exclusion,ruido,encuesta electoral
exclusion,ruido,intención de voto
